Hourly_DateTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,ZenithDeviation
2016-10-01 00:00:00,1.26,48.5,30.45,88.25,153.25,9.98,697.62
2016-10-01 01:00:00,1.27,50.42,30.44,98.92,145.18,8.06,644.5
2016-10-01 02:00:00,1.28,50.08,30.43,100.0,136.54,6.84,584.5
2016-10-01 03:00:00,1.27,50.17,30.43,100.0,132.1,5.34,524.5
2016-10-01 04:00:00,1.27,50.17,30.43,100.17,117.02,6.75,464.5
2016-10-01 05:00:00,1.28,50.0,30.44,101.0,128.62,7.68,404.5
2016-10-01 06:00:00,10.8,49.42,30.45,99.92,128.84,7.03,344.5
2016-10-01 07:00:00,137.55,51.42,30.46,100.83,108.41,5.06,284.5
2016-10-01 08:00:00,460.83,53.58,30.47,100.42,82.84,5.06,224.5
2016-10-01 09:00:00,569.09,54.67,30.48,98.33,77.27,6.28,164.5
2016-10-01 10:00:00,493.26,54.92,30.48,97.5,94.57,5.25,104.5
2016-10-01 11:00:00,960.82,57.42,30.46,96.0,78.31,7.31,44.5
2016-10-01 12:00:00,959.33,57.17,30.45,96.08,52.0,8.62,19.0
2016-10-01 13:00:00,620.27,57.0,30.43,96.25,92.73,6.37,75.5
2016-10-01 14:00:00,459.67,55.42,30.42,99.92,136.55,6.28,135.5
2016-10-01 15:00:00,305.44,54.75,30.42,101.0,106.13,6.28,195.5
2016-10-01 16:00:00,149.43,53.42,30.42,101.0,91.15,5.25,255.5
2016-10-01 17:00:00,54.67,52.5,30.44,101.25,89.17,4.5,315.5
2016-10-01 18:00:00,2.31,51.92,30.44,102.0,85.24,4.12,375.5
2016-10-01 19:00:00,1.27,51.5,30.45,102.0,103.06,6.65,435.5
2016-10-01 20:00:00,1.28,51.17,30.47,102.0,117.53,6.65,495.5
2016-10-01 21:00:00,1.28,51.17,30.47,102.0,111.1,4.59,555.5
2016-10-01 22:00:00,1.27,50.58,30.47,102.0,134.77,6.18,615.5
2016-10-01 23:00:00,1.28,50.75,30.47,101.67,133.41,6.0,675.5
2016-10-02 00:00:00,1.27,50.38,30.46,101.0,140.05,6.33,697.0
2016-10-02 01:00:00,1.27,51.0,30.45,101.0,138.47,5.62,644.5
2016-10-02 02:00:00,1.26,49.67,30.43,101.0,109.03,3.94,584.5
2016-10-02 03:00:00,1.25,49.08,30.42,101.0,121.42,4.87,524.5
2016-10-02 04:00:00,1.26,47.75,30.42,100.67,121.83,4.78,464.5
2016-10-02 05:00:00,1.24,47.58,30.43,96.67,132.37,5.9,404.5
2016-10-02 06:00:00,27.02,48.75,30.44,97.5,155.16,6.0,344.5
2016-10-02 07:00:00,242.1,52.33,30.45,99.33,118.11,4.03,284.5
2016-10-02 08:00:00,420.41,55.08,30.47,94.75,115.16,7.03,224.5
2016-10-02 09:00:00,565.54,55.33,30.48,95.67,85.13,6.28,164.5
2016-10-02 10:00:00,625.77,56.75,30.47,96.17,75.86,5.72,104.5
2016-10-02 11:00:00,783.63,57.33,30.46,96.58,83.02,6.75,44.5
2016-10-02 12:00:00,732.83,57.08,30.44,96.67,105.84,6.47,19.0
2016-10-02 13:00:00,754.75,57.58,30.43,96.25,156.05,5.72,75.5
2016-10-02 14:00:00,437.71,56.83,30.41,96.92,106.02,5.9,135.5
2016-10-02 15:00:00,323.55,55.5,30.41,99.83,99.74,5.9,195.5
2016-10-02 16:00:00,168.76,54.08,30.41,100.83,68.34,5.72,255.5
2016-10-02 17:00:00,53.55,53.42,30.41,101.08,65.24,5.62,315.5
2016-10-02 18:00:00,1.7,52.25,30.42,101.92,77.28,5.53,375.5
2016-10-02 19:00:00,1.24,52.0,30.44,102.0,85.82,4.22,435.5
2016-10-02 20:00:00,1.23,51.58,30.45,102.0,109.76,5.06,495.5
2016-10-02 21:00:00,1.23,51.0,30.46,102.0,89.16,4.96,555.5
2016-10-02 22:00:00,1.24,51.0,30.46,102.0,90.27,3.88,616.18
2016-10-02 23:00:00,1.24,50.75,30.45,102.0,99.92,4.97,675.5
2016-10-03 00:00:00,1.25,50.0,30.44,102.0,118.59,3.12,697.67
2016-10-03 01:00:00,1.23,49.75,30.44,102.0,107.76,4.12,643.5
2016-10-03 02:00:00,1.24,48.67,30.43,102.0,127.88,3.0,583.5
2016-10-03 03:00:00,1.22,47.08,30.42,101.5,133.17,4.59,523.5
2016-10-03 04:00:00,1.23,48.17,30.42,96.08,148.08,7.03,463.5
2016-10-03 05:00:00,1.22,48.08,30.42,91.33,123.67,4.03,403.5
