Hourly_DateTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,ZenithDeviation
2016-11-26 01:00:00,1.2,43.58,30.44,85.75,158.87,7.5,642.5
2016-11-26 02:00:00,1.19,41.67,30.43,76.33,133.45,9.56,582.5
2016-11-26 03:00:00,1.2,42.0,30.43,56.17,144.09,10.87,522.5
2016-11-26 04:00:00,1.19,41.17,30.43,54.17,161.07,11.62,462.5
2016-11-26 05:00:00,1.19,41.0,30.43,54.58,135.59,9.84,402.5
2016-11-26 06:00:00,7.39,39.92,30.45,71.58,128.89,10.31,342.5
2016-11-26 07:00:00,97.3,42.5,30.46,64.08,129.23,7.4,282.5
2016-11-26 08:00:00,359.22,49.42,30.46,48.75,124.67,9.75,222.5
2016-11-26 09:00:00,528.58,50.25,30.47,68.08,73.39,8.81,162.5
2016-11-26 10:00:00,708.89,52.0,30.47,81.5,97.99,9.09,102.5
2016-11-26 11:00:00,785.36,55.75,30.45,73.67,100.49,7.12,42.5
2016-11-26 12:00:00,807.02,57.0,30.44,72.75,100.11,7.78,20.0
2016-11-26 13:00:00,756.52,59.67,30.43,49.33,82.78,8.06,77.5
2016-11-26 14:00:00,690.17,55.0,30.42,75.58,101.57,7.22,137.5
2016-11-26 15:00:00,489.46,56.08,30.42,58.0,76.12,6.18,197.5
2016-11-26 16:00:00,257.18,54.33,30.42,56.5,80.06,8.81,257.5
2016-11-26 17:00:00,52.47,53.92,30.43,27.83,137.68,10.12,317.5
2016-11-26 18:00:00,1.22,50.67,30.44,28.25,148.22,9.19,377.5
2016-11-26 19:00:00,1.21,47.42,30.46,40.42,136.31,11.34,437.5
2016-11-26 20:00:00,1.2,44.92,30.48,84.0,129.99,9.56,497.5
2016-11-26 21:00:00,1.22,45.42,30.48,47.42,118.05,6.75,557.5
2016-11-26 22:00:00,1.2,44.0,30.48,56.75,114.58,3.94,617.5
2016-11-26 23:00:00,1.21,45.25,30.48,56.83,119.27,9.47,677.5
2016-11-27 00:00:00,1.21,45.58,30.46,82.75,151.99,7.31,702.5
2016-11-27 01:00:00,1.2,45.0,30.45,98.92,125.78,10.03,642.5
2016-11-27 02:00:00,1.21,44.83,30.45,99.08,127.09,8.34,582.5
2016-11-27 03:00:00,1.2,42.92,30.44,93.08,141.92,6.65,522.5
2016-11-27 04:00:00,1.2,43.58,30.43,57.17,144.77,7.87,462.5
2016-11-27 05:00:00,1.2,43.08,30.44,90.92,146.53,8.15,402.5
2016-11-27 06:00:00,4.74,44.5,30.45,99.67,142.51,7.68,342.5
2016-11-27 07:00:00,72.39,44.75,30.46,100.67,115.59,5.34,282.5
2016-11-27 08:00:00,412.1,48.5,30.47,88.33,124.92,6.56,222.5
2016-11-27 09:00:00,615.52,51.83,30.48,68.33,96.09,5.71,162.5
2016-11-27 10:00:00,769.86,53.5,30.48,61.08,124.62,7.4,102.5
2016-11-27 11:00:00,854.1,55.25,30.48,77.08,74.6,8.15,42.5
2016-11-27 12:00:00,873.46,56.5,30.46,70.92,85.86,6.75,20.0
2016-11-27 13:00:00,754.54,56.08,30.44,75.75,43.92,8.62,77.5
2016-11-27 14:00:00,678.45,55.17,30.43,75.75,91.06,8.62,137.5
