Hourly_DateTime,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,ZenithDeviation,Year,Month,Day,Hour,Log_Radiation
2016-10-01 00:00:00,1.26,48.50,30.45,88.25,153.25,9.98,697.62,2016,10,1,0,0.23
2016-10-01 01:00:00,1.27,50.42,30.44,98.92,145.18,8.06,644.50,2016,10,1,1,0.24
2016-10-01 02:00:00,1.28,50.08,30.43,100.00,136.54,6.84,584.50,2016,10,1,2,0.24
2016-10-01 03:00:00,1.27,50.17,30.43,100.00,132.10,5.34,524.50,2016,10,1,3,0.24
2016-10-01 04:00:00,1.27,50.17,30.43,100.17,117.02,6.75,464.50,2016,10,1,4,0.24
2016-10-01 05:00:00,1.28,50.00,30.44,101.00,128.62,7.68,404.50,2016,10,1,5,0.25
2016-10-01 06:00:00,10.80,49.42,30.45,99.92,128.84,7.03,344.50,2016,10,1,6,2.38
2016-10-01 07:00:00,137.55,51.42,30.46,100.83,108.41,5.06,284.50,2016,10,1,7,4.92
2016-10-01 08:00:00,460.83,53.58,30.47,100.42,82.84,5.06,224.50,2016,10,1,8,6.13
2016-10-01 09:00:00,569.09,54.67,30.48,98.33,77.27,6.28,164.50,2016,10,1,9,6.34
2016-10-01 10:00:00,493.26,54.92,30.48,97.50,94.57,5.25,104.50,2016,10,1,10,6.20
2016-10-01 11:00:00,960.82,57.42,30.46,96.00,78.31,7.31,44.50,2016,10,1,11,6.87
2016-10-01 12:00:00,959.33,57.17,30.45,96.08,52.00,8.62,19.00,2016,10,1,12,6.87
2016-10-01 13:00:00,620.27,57.00,30.43,96.25,92.73,6.37,75.50,2016,10,1,13,6.43
2016-10-01 14:00:00,459.67,55.42,30.42,99.92,136.55,6.28,135.50,2016,10,1,14,6.13
2016-10-01 15:00:00,305.44,54.75,30.42,101.00,106.13,6.28,195.50,2016,10,1,15,5.72
2016-10-01 16:00:00,149.43,53.42,30.42,101.00,91.15,5.25,255.50,2016,10,1,16,5.01
2016-10-01 17:00:00,54.67,52.50,30.44,101.25,89.17,4.50,315.50,2016,10,1,17,4.00
2016-10-01 18:00:00,2.31,51.92,30.44,102.00,85.24,4.12,375.50,2016,10,1,18,0.84
2016-10-01 19:00:00,1.27,51.50,30.45,102.00,103.06,6.65,435.50,2016,10,1,19,0.24
2016-10-01 20:00:00,1.28,51.17,30.47,102.00,117.53,6.65,495.50,2016,10,1,20,0.24
2016-10-01 21:00:00,1.28,51.17,30.47,102.00,111.10,4.59,555.50,2016,10,1,21,0.24
2016-10-01 22:00:00,1.27,50.58,30.47,102.00,134.77,6.18,615.50,2016,10,1,22,0.24
2016-10-01 23:00:00,1.28,50.75,30.47,101.67,133.41,6.00,675.50,2016,10,1,23,0.25
2016-10-02 00:00:00,1.27,50.38,30.46,101.00,140.05,6.33,697.00,2016,10,2,0,0.24
2016-10-02 01:00:00,1.27,51.00,30.45,101.00,138.47,5.62,644.50,2016,10,2,1,0.24
2016-10-02 02:00:00,1.26,49.67,30.43,101.00,109.03,3.94,584.50,2016,10,2,2,0.23
2016-10-02 03:00:00,1.25,49.08,30.42,101.00,121.42,4.87,524.50,2016,10,2,3,0.22
2016-10-02 04:00:00,1.26,47.75,30.42,100.67,121.83,4.78,464.50,2016,10,2,4,0.23
2016-10-02 05:00:00,1.24,47.58,30.43,96.67,132.37,5.90,404.50,2016,10,2,5,0.22
2016-10-02 06:00:00,27.02,48.75,30.44,97.50,155.16,6.00,344.50,2016,10,2,6,3.30
2016-10-02 07:00:00,242.10,52.33,30.45,99.33,118.11,4.03,284.50,2016,10,2,7,5.49
2016-10-02 08:00:00,420.41,55.08,30.47,94.75,115.16,7.03,224.50,2016,10,2,8,6.04
2016-10-02 09:00:00,565.54,55.33,30.48,95.67,85.13,6.28,164.50,2016,10,2,9,6.34
2016-10-02 10:00:00,625.77,56.75,30.47,96.17,75.86,5.72,104.50,2016,10,2,10,6.44
2016-10-02 11:00:00,783.63,57.33,30.46,96.58,83.02,6.75,44.50,2016,10,2,11,6.66
2016-10-02 12:00:00,732.83,57.08,30.44,96.67,105.84,6.47,19.00,2016,10,2,12,6.60
2016-10-02 13:00:00,754.75,57.58,30.43,96.25,156.05,5.72,75.50,2016,10,2,13,6.63
2016-10-02 14:00:00,437.71,56.83,30.41,96.92,106.02,5.90,135.50,2016,10,2,14,6.08
2016-10-02 15:00:00,323.55,55.50,30.41,99.83,99.74,5.90,195.50,2016,10,2,15,5.78
2016-10-02 16:00:00,168.76,54.08,30.41,100.83,68.34,5.72,255.50,2016,10,2,16,5.13
2016-10-02 17:00:00,53.55,53.42,30.41,101.08,65.24,5.62,315.50,2016,10,2,17,3.98
2016-10-02 18:00:00,1.70,52.25,30.42,101.92,77.28,5.53,375.50,2016,10,2,18,0.53
2016-10-02 19:00:00,1.24,52.00,30.44,102.00,85.82,4.22,435.50,2016,10,2,19,0.22
2016-10-02 20:00:00,1.23,51.58,30.45,102.00,109.76,5.06,495.50,2016,10,2,20,0.21
2016-10-02 21:00:00,1.23,51.00,30.46,102.00,89.16,4.96,555.50,2016,10,2,21,0.21
2016-10-02 22:00:00,1.24,51.00,30.46,102.00,90.27,3.88,616.18,2016,10,2,22,0.22
2016-10-02 23:00:00,1.24,50.75,30.45,102.00,99.92,4.97,675.50,2016,10,2,23,0.21
2016-10-03 00:00:00,1.25,50.00,30.44,102.00,118.59,3.12,697.67,2016,10,3,0,0.22
2016-10-03 01:00:00,1.23,49.75,30.44,102.00,107.76,4.12,643.50,2016,10,3,1,0.20
2016-10-03 02:00:00,1.24,48.67,30.43,102.00,127.88,3.00,583.50,2016,10,3,2,0.21
2016-10-03 03:00:00,1.22,47.08,30.42,101.50,133.17,4.59,523.50,2016,10,3,3,0.20
2016-10-03 04:00:00,1.23,48.17,30.42,96.08,148.08,7.03,463.50,2016,10,3,4,0.21
2016-10-03 05:00:00,1.22,48.08,30.42,91.33,123.67,4.03,403.50,2016,10,3,5,0.20
2016-10-03 06:00:00,25.61,48.42,30.43,81.42,145.38,6.28,343.50,2016,10,3,6,3.24
2016-10-03 07:00:00,173.76,50.42,30.45,85.00,131.57,6.37,283.50,2016,10,3,7,5.16
2016-10-03 08:00:00,287.83,53.45,30.46,90.36,121.47,9.41,222.36,2016,10,3,8,5.66
2016-10-03 09:00:00,395.99,55.33,30.47,92.33,94.88,6.00,163.50,2016,10,3,9,5.98
2016-10-03 10:00:00,492.32,55.25,30.47,98.25,131.68,7.22,103.50,2016,10,3,10,6.20
2016-10-03 11:00:00,305.56,54.17,30.46,100.17,60.43,6.56,43.50,2016,10,3,11,5.72
2016-10-03 12:00:00,379.75,54.33,30.45,101.00,107.57,5.06,18.75,2016,10,3,12,5.94
2016-10-03 13:00:00,338.23,54.00,30.43,101.00,62.96,6.75,75.27,2016,10,3,13,5.82
2016-10-03 14:00:00,172.27,53.50,30.42,101.58,78.83,4.68,135.50,2016,10,3,14,5.15
2016-10-03 15:00:00,189.14,53.00,30.42,102.00,100.00,6.00,195.50,2016,10,3,15,5.24
2016-10-03 16:00:00,131.19,53.08,30.41,102.00,74.44,4.68,255.50,2016,10,3,16,4.88
2016-10-03 17:00:00,41.92,52.25,30.42,102.00,101.81,6.09,315.50,2016,10,3,17,3.74
2016-10-03 18:00:00,1.82,52.00,30.43,100.82,116.77,5.83,375.73,2016,10,3,18,0.60
2016-10-03 19:00:00,1.25,52.00,30.44,98.50,129.91,5.15,435.50,2016,10,3,19,0.22
2016-10-03 20:00:00,1.25,52.00,30.45,98.55,102.30,3.27,494.36,2016,10,3,20,0.22
2016-10-03 21:00:00,1.28,51.67,30.46,99.50,96.47,3.00,555.50,2016,10,3,21,0.24
2016-10-03 22:00:00,1.27,51.00,30.46,99.00,110.59,3.00,615.50,2016,10,3,22,0.24
2016-10-03 23:00:00,1.25,51.42,30.45,96.75,124.75,6.46,675.50,2016,10,3,23,0.22
2016-10-04 00:00:00,1.26,52.00,30.44,93.86,171.25,3.53,694.57,2016,10,4,0,0.23
2016-10-04 01:00:00,1.24,50.25,30.43,98.83,121.34,2.81,643.50,2016,10,4,1,0.22
2016-10-04 02:00:00,1.23,50.08,30.42,98.08,109.18,2.44,583.50,2016,10,4,2,0.21
2016-10-04 03:00:00,1.23,49.83,30.41,98.08,129.76,3.84,523.50,2016,10,4,3,0.21
2016-10-04 04:00:00,1.23,49.42,30.41,95.83,220.57,2.81,463.50,2016,10,4,4,0.21
2016-10-04 05:00:00,1.23,49.00,30.42,93.00,196.13,3.68,402.82,2016,10,4,5,0.21
2016-10-04 06:00:00,15.31,49.00,30.43,94.08,160.07,3.09,343.50,2016,10,4,6,2.73
2016-10-04 07:00:00,106.57,50.83,30.44,95.33,181.87,2.44,283.50,2016,10,4,7,4.67
2016-10-04 08:00:00,200.69,52.25,30.46,99.58,308.07,1.12,223.50,2016,10,4,8,5.30
2016-10-04 09:00:00,417.19,54.42,30.47,99.83,77.66,3.28,163.50,2016,10,4,9,6.03
2016-10-04 10:00:00,458.92,56.25,30.47,98.42,107.24,3.94,103.50,2016,10,4,10,6.13
2016-10-04 11:00:00,200.06,55.25,30.46,100.42,60.34,5.72,43.50,2016,10,4,11,5.30
2016-10-04 12:00:00,446.71,56.00,30.45,101.75,45.86,5.15,19.50,2016,10,4,12,6.10
2016-10-04 13:00:00,225.13,55.50,30.43,101.42,85.39,6.84,76.50,2016,10,4,13,5.42
2016-10-04 14:00:00,231.92,55.42,30.41,102.00,62.93,5.34,136.50,2016,10,4,14,5.45
2016-10-04 15:00:00,103.85,54.58,30.42,102.00,105.44,4.31,196.50,2016,10,4,15,4.64
2016-10-04 16:00:00,127.52,54.25,30.43,102.00,78.39,3.47,256.50,2016,10,4,16,4.85
2016-10-04 17:00:00,104.15,55.17,30.44,102.00,108.48,3.19,316.50,2016,10,4,17,4.65
2016-10-04 18:00:00,3.53,53.58,30.44,102.00,85.44,3.28,376.50,2016,10,4,18,1.26
2016-10-04 19:00:00,1.25,52.33,30.46,102.00,112.26,4.03,436.50,2016,10,4,19,0.22
2016-10-04 20:00:00,1.23,51.33,30.47,101.92,130.18,3.00,496.50,2016,10,4,20,0.21
2016-10-04 21:00:00,1.23,50.75,30.48,101.00,140.73,4.87,556.50,2016,10,4,21,0.21
2016-10-04 22:00:00,1.23,50.17,30.48,100.33,145.83,5.43,616.50,2016,10,4,22,0.21
2016-10-04 23:00:00,1.22,50.17,30.46,99.42,141.12,4.31,676.50,2016,10,4,23,0.20
2016-10-05 00:00:00,1.24,50.12,30.45,100.38,113.11,4.22,696.00,2016,10,5,0,0.21
2016-10-05 01:00:00,1.24,50.42,30.44,101.75,120.88,2.81,643.50,2016,10,5,1,0.22
2016-10-05 02:00:00,1.23,49.42,30.43,100.33,138.76,5.90,583.50,2016,10,5,2,0.21
2016-10-05 03:00:00,1.23,49.75,30.43,99.42,143.96,4.40,523.50,2016,10,5,3,0.21
2016-10-05 04:00:00,1.23,49.00,30.43,98.42,177.75,5.72,463.50,2016,10,5,4,0.21
2016-10-05 05:00:00,1.24,48.00,30.43,95.75,175.72,5.06,403.50,2016,10,5,5,0.22
2016-10-05 06:00:00,10.98,48.17,30.43,95.25,171.09,4.97,343.50,2016,10,5,6,2.40
2016-10-05 07:00:00,174.99,51.67,30.45,99.17,143.67,7.50,283.50,2016,10,5,7,5.16
2016-10-05 08:00:00,346.21,55.00,30.46,100.00,88.75,6.37,223.50,2016,10,5,8,5.85
2016-10-05 09:00:00,382.20,55.00,30.47,100.92,95.43,5.53,163.50,2016,10,5,9,5.95
2016-10-05 10:00:00,444.41,55.08,30.47,101.58,59.00,4.59,103.50,2016,10,5,10,6.10
2016-10-05 11:00:00,696.92,56.33,30.46,101.75,114.77,5.34,43.50,2016,10,5,11,6.55
2016-10-05 12:00:00,467.78,56.75,30.45,100.67,66.42,6.28,19.50,2016,10,5,12,6.15
2016-10-05 13:00:00,482.17,56.50,30.44,101.08,26.52,5.16,76.50,2016,10,5,13,6.18
2016-10-05 14:00:00,177.86,55.58,30.43,100.25,29.17,4.22,136.50,2016,10,5,14,5.18
2016-10-05 15:00:00,178.66,54.91,30.43,101.45,32.56,3.27,198.55,2016,10,5,15,5.19
2016-10-05 16:00:00,187.75,54.67,30.44,102.00,55.02,2.53,256.50,2016,10,5,16,5.24
2016-10-05 17:00:00,92.84,55.73,30.45,99.45,84.29,2.45,318.09,2016,10,5,17,4.53
2016-10-05 18:00:00,3.65,53.75,30.46,98.17,134.22,1.78,376.50,2016,10,5,18,1.30
2016-10-05 19:00:00,1.24,52.09,30.47,99.36,128.20,2.86,437.18,2016,10,5,19,0.21
2016-10-05 20:00:00,1.25,51.25,30.48,96.75,128.63,2.72,496.50,2016,10,5,20,0.22
2016-10-05 21:00:00,1.24,50.92,30.49,97.08,130.84,3.93,556.50,2016,10,5,21,0.22
2016-10-05 22:00:00,1.25,50.75,30.48,92.42,161.90,6.28,616.50,2016,10,5,22,0.22
2016-10-05 23:00:00,1.24,50.75,30.47,89.50,139.75,4.21,676.50,2016,10,5,23,0.21
2016-10-06 00:00:00,1.23,50.38,30.46,93.25,233.13,3.37,696.00,2016,10,6,0,0.21
2016-10-06 01:00:00,1.23,48.42,30.45,95.42,210.18,4.59,643.50,2016,10,6,1,0.20
2016-10-06 02:00:00,1.23,48.58,30.44,93.67,195.50,6.09,583.50,2016,10,6,2,0.21
2016-10-06 03:00:00,1.23,47.75,30.43,92.67,195.83,5.90,523.50,2016,10,6,3,0.21
2016-10-06 04:00:00,1.23,47.83,30.43,91.75,182.99,5.53,463.50,2016,10,6,4,0.21
2016-10-06 05:00:00,1.22,47.00,30.44,91.25,164.86,2.15,403.50,2016,10,6,5,0.20
2016-10-06 06:00:00,35.04,46.33,30.45,90.67,176.89,5.34,343.50,2016,10,6,6,3.56
2016-10-06 07:00:00,144.12,49.00,30.47,91.42,175.83,3.09,283.50,2016,10,6,7,4.97
2016-10-06 08:00:00,335.30,54.00,30.48,84.25,118.85,1.87,223.50,2016,10,6,8,5.82
2016-10-06 09:00:00,626.51,56.75,30.49,86.25,93.76,1.78,163.50,2016,10,6,9,6.44
2016-10-06 10:00:00,818.02,58.25,30.49,90.17,284.04,4.68,103.50,2016,10,6,10,6.71
2016-10-06 11:00:00,406.44,58.58,30.48,88.58,257.55,6.47,43.50,2016,10,6,11,6.01
2016-10-06 12:00:00,272.41,58.92,30.46,89.42,302.28,7.31,19.50,2016,10,6,12,5.61
2016-10-06 13:00:00,351.87,58.67,30.44,92.75,280.43,6.65,76.50,2016,10,6,13,5.86
2016-10-06 14:00:00,154.03,56.50,30.43,96.50,134.25,4.50,136.50,2016,10,6,14,5.04
2016-10-06 15:00:00,62.75,54.50,30.42,99.17,54.27,3.09,196.50,2016,10,6,15,4.14
2016-10-06 16:00:00,56.03,53.92,30.42,100.83,129.26,2.81,256.50,2016,10,6,16,4.03
2016-10-06 17:00:00,49.59,54.00,30.43,101.00,324.25,2.72,316.50,2016,10,6,17,3.90
2016-10-06 18:00:00,3.24,52.75,30.44,101.00,315.11,2.15,376.50,2016,10,6,18,1.18
2016-10-06 19:00:00,1.23,51.75,30.45,101.42,123.26,1.50,436.50,2016,10,6,19,0.20
2016-10-06 20:00:00,1.23,51.00,30.45,102.00,110.76,1.97,496.50,2016,10,6,20,0.21
2016-10-06 21:00:00,1.23,50.00,30.46,102.00,132.09,4.40,556.50,2016,10,6,21,0.21
2016-10-06 22:00:00,1.23,49.58,30.45,101.00,134.13,5.62,616.50,2016,10,6,22,0.21
2016-10-06 23:00:00,1.23,49.25,30.44,100.83,154.28,6.09,676.50,2016,10,6,23,0.21
2016-10-07 00:00:00,1.22,47.25,30.42,89.50,179.73,6.18,695.00,2016,10,7,0,0.20
2016-10-07 01:00:00,1.22,46.25,30.41,84.33,165.56,5.43,642.50,2016,10,7,1,0.20
2016-10-07 02:00:00,1.22,45.83,30.40,86.92,178.42,7.97,582.50,2016,10,7,2,0.20
2016-10-07 03:00:00,1.22,46.00,30.40,82.50,180.64,7.87,522.50,2016,10,7,3,0.20
2016-10-07 04:00:00,1.22,45.33,30.40,81.67,177.71,6.93,462.50,2016,10,7,4,0.20
2016-10-07 05:00:00,1.22,45.00,30.40,83.25,175.77,6.84,402.50,2016,10,7,5,0.20
2016-10-07 06:00:00,11.31,45.17,30.41,87.25,178.12,6.37,342.50,2016,10,7,6,2.43
2016-10-07 07:00:00,220.76,49.00,30.42,88.33,167.06,3.93,282.50,2016,10,7,7,5.40
2016-10-07 08:00:00,529.68,56.33,30.43,79.42,32.04,2.53,222.50,2016,10,7,8,6.27
2016-10-07 09:00:00,736.16,56.50,30.44,86.83,180.51,2.81,162.50,2016,10,7,9,6.60
2016-10-07 10:00:00,747.87,58.00,30.44,88.75,105.80,3.00,102.50,2016,10,7,10,6.62
2016-10-07 11:00:00,683.37,58.83,30.43,89.00,150.98,4.69,42.50,2016,10,7,11,6.53
2016-10-07 12:00:00,693.61,60.00,30.42,86.33,128.99,5.06,19.25,2016,10,7,12,6.54
2016-10-07 13:00:00,333.13,59.17,30.40,90.08,130.94,3.84,76.50,2016,10,7,13,5.81
2016-10-07 14:00:00,144.22,56.83,30.39,97.25,45.34,4.68,136.50,2016,10,7,14,4.97
2016-10-07 15:00:00,88.65,55.00,30.38,100.50,44.83,3.28,196.50,2016,10,7,15,4.48
2016-10-07 16:00:00,29.70,53.58,30.39,101.00,126.42,5.34,256.50,2016,10,7,16,3.39
2016-10-07 17:00:00,30.49,51.33,30.40,99.42,267.48,2.90,316.50,2016,10,7,17,3.42
2016-10-07 18:00:00,1.65,51.75,30.41,92.92,209.84,6.18,376.50,2016,10,7,18,0.50
2016-10-07 19:00:00,1.24,51.00,30.42,99.00,114.29,3.19,436.50,2016,10,7,19,0.22
2016-10-07 20:00:00,1.24,51.25,30.44,101.00,111.01,2.90,496.50,2016,10,7,20,0.22
2016-10-07 21:00:00,1.23,49.33,30.44,97.33,177.17,4.40,556.50,2016,10,7,21,0.20
2016-10-07 22:00:00,1.23,49.00,30.44,93.58,181.84,6.00,616.50,2016,10,7,22,0.20
2016-10-07 23:00:00,1.23,48.75,30.43,92.83,152.10,4.21,676.50,2016,10,7,23,0.21
2016-10-08 00:00:00,1.23,48.50,30.41,89.38,164.65,4.78,695.00,2016,10,8,0,0.21
2016-10-08 01:00:00,1.25,47.92,30.40,89.75,180.14,6.00,642.50,2016,10,8,1,0.22
2016-10-08 02:00:00,1.23,47.00,30.38,88.75,186.79,7.31,582.50,2016,10,8,2,0.21
2016-10-08 03:00:00,1.24,47.17,30.38,86.92,164.97,5.06,522.50,2016,10,8,3,0.22
2016-10-08 04:00:00,1.25,47.08,30.38,86.33,165.88,5.25,462.50,2016,10,8,4,0.22
2016-10-08 05:00:00,1.24,46.67,30.38,88.00,171.29,5.44,402.50,2016,10,8,5,0.21
2016-10-08 06:00:00,21.26,46.83,30.39,86.92,170.80,4.87,342.50,2016,10,8,6,3.06
2016-10-08 07:00:00,126.61,48.67,30.40,86.42,164.84,5.06,282.50,2016,10,8,7,4.84
