Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Wind Speed,
2019,1,1,0,0,4.800000000000001,0,0,0,3,0,0,0,87.89,152.9,0.12,993,5.4,N/A
2019,1,1,0,15,4.800000000000001,0,0,0,3,0,0,0,87.89,150.20000000000002,0.12,993,5.5,N/A
2019,1,1,0,30,4.800000000000001,0,0,0,2.9000000000000004,0,0,0,87.8,147.41,0.12,992,5.6000000000000005,N/A
2019,1,1,0,45,4.800000000000001,0,0,0,3.3000000000000003,0,0,0,90.23,144.57,0.12,992,5.800000000000001,N/A
2019,1,1,1,0,4.800000000000001,0,0,0,3.3000000000000003,0,0,0,90.23,141.69,0.12,992,5.9,N/A
2019,1,1,1,15,4.800000000000001,0,0,0,3.3000000000000003,0,0,0,90.23,138.78,0.12,992,6,N/A
2019,1,1,1,30,4.800000000000001,0,0,0,3.3000000000000003,0,0,0,90.23,135.84,0.12,992,6,N/A
2019,1,1,1,45,4.800000000000001,0,0,0,3.5,0,0,0,91.4,132.9,0.12,992,6,N/A
2019,1,1,2,0,4.800000000000001,0,0,0,3.5,0,0,0,91.3,129.95,0.12,991,6.1000000000000005,N/A
2019,1,1,2,15,4.800000000000001,0,0,0,3.5,0,0,0,91.3,127,0.12,991,6.1000000000000005,N/A
2019,1,1,2,30,4.9,0,0,0,3.5,0,0,0,90.67,124.05,0.12,991,6.1000000000000005,N/A
2019,1,1,2,45,5,0,0,0,3.9000000000000004,0,0,0,92.35000000000001,121.11,0.12,991,6.2,N/A
2019,1,1,3,0,5.1000000000000005,0,0,0,3.9000000000000004,0,0,0,91.71000000000001,118.18,0.12,991,6.2,N/A
2019,1,1,3,15,5.2,0,0,0,3.9000000000000004,0,0,0,91.08,115.27,0.12,991,6.2,N/A
2019,1,1,3,30,5.300000000000001,0,0,0,3.9000000000000004,0,0,0,90.45,112.37,0.12,991,6.2,N/A
2019,1,1,3,45,5.4,0,0,0,4.4,0,0,0,93.17,109.5,0.12,991,6.2,N/A
2019,1,1,4,0,5.5,0,0,0,4.4,0,0,0,92.53,106.66,0.12,991,6.2,N/A
2019,1,1,4,15,5.6000000000000005,0,0,0,4.4,0,0,0,91.89,103.84,0.12,991,6,N/A
2019,1,1,4,30,5.7,0,0,0,4.4,0,0,0,91.26,101.06,0.12,991,5.9,N/A
2019,1,1,4,45,5.9,0,0,0,5,0,0,0,94.14,98.32000000000001,0.12,991,5.800000000000001,N/A
2019,1,1,5,0,6,0,0,0,5,0,0,0,93.49,95.62,0.12,991,5.6000000000000005,N/A
2019,1,1,5,15,6.2,0,0,0,5,0,0,0,92.22,92.97,0.12,991,5.5,N/A
2019,1,1,5,30,6.4,0,0,0,5,0,0,0,90.96000000000001,89.83,0.12,991,5.4,N/A
2019,1,1,5,45,6.6000000000000005,18,55,21,5.9,3,0,3,95.25,87.56,0.12,991,5.300000000000001,N/A
2019,1,1,6,0,6.800000000000001,35,144,47,5.9,4,0,4,94.05,85.18,0.12,992,5.1000000000000005,N/A
2019,1,1,6,15,7.1000000000000005,50,234,80,5.9,5,0,5,92.13,82.82000000000001,0.12,992,5,N/A
2019,1,1,6,30,7.300000000000001,63,312,115,5.9,6,0,6,90.88,80.52,0.12,992,5,N/A
2019,1,1,6,45,7.6000000000000005,71,401,153,6.9,7,0,7,95.15,78.29,0.12,992,4.9,N/A
2019,1,1,7,0,7.9,80,457,189,6.9,8,0,8,93.23,76.16,0.12,992,4.800000000000001,N/A
2019,1,1,7,15,8.1,87,504,225,6.9,9,0,9,91.97,74.12,0.12,992,4.800000000000001,N/A
2019,1,1,7,30,8.3,93,544,260,6.9,13,0,13,90.65,72.19,0.12,991,4.7,N/A
2019,1,1,7,45,8.5,96,589,294,7.7,14,0,14,94.83,70.38,0.12,991,4.7,N/A
2019,1,1,8,0,8.8,101,617,324,7.7,16,0,16,92.93,68.7,0.12,991,4.7,N/A
2019,1,1,8,15,8.9,105,640,353,7.7,17,0,17,92.31,67.16,0.12,991,4.6000000000000005,N/A
2019,1,1,8,30,9.1,108,660,379,7.7,19,0,19,91.07000000000001,65.77,0.12,991,4.6000000000000005,N/A
2019,1,1,8,45,9.200000000000001,133,601,391,8.3,20,0,20,94.27,64.54,0.12,991,4.5,N/A
2019,1,1,9,0,9.4,135,615,410,8.3,21,0,21,93.01,63.480000000000004,0.12,991,4.5,N/A
2019,1,1,9,15,9.5,138,626,426,8.3,21,0,21,92.39,62.61,0.12,991,4.4,N/A
2019,1,1,9,30,9.600000000000001,139,635,438,8.3,22,0,22,91.68,61.92,0.12,990,4.4,N/A
2019,1,1,9,45,9.600000000000001,133,663,450,8.700000000000001,24,0,24,93.82000000000001,61.42,0.12,990,4.3,N/A
2019,1,1,10,0,9.700000000000001,133,667,455,8.700000000000001,24,0,24,93.19,61.120000000000005,0.12,990,4.3,N/A
2019,1,1,10,15,9.8,134,668,457,8.700000000000001,23,0,23,92.57000000000001,61.03,0.12,990,4.2,N/A
2019,1,1,10,30,9.8,133,667,455,8.700000000000001,23,0,23,92.57000000000001,61.13,0.12,990,4.2,N/A
2019,1,1,10,45,9.9,120,703,456,8.8,23,0,23,92.93,61.44,0.12,990,4.1000000000000005,N/A
2019,1,1,11,0,9.9,118,697,446,8.8,22,0,22,92.93,61.95,0.12,990,4.1000000000000005,N/A
2019,1,1,11,15,9.9,117,689,434,8.8,23,0,23,92.93,62.65,0.12,990,4,N/A
